model,prompt,mode,title,n_judges,coherence,harmony,rhythm,structure,melody,emotion,creativity,naturalness,valence,arousal,intent,emotion_label,overall
opus-4.8,free-form,codegen,Quiet Company,2,4.0,4.0,4.5,4.0,3.0,4.0,2.5,4.5,2.5,1.5,4.0,tender,3.833
sonnet-4.6,free-form,codegen,Between Stillness and Motion,3,2.667,3.333,3.0,4.0,3.667,3.667,2.667,2.667,2.0,2.0,3.0,wistful,3.185
gpt-5.5,free-form,codegen,Between Queries and Quiet,2,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.5,2.5,2.0,5.0,tender,4.5
gpt-4.1,free-form,codegen,Driftings,3,3.0,4.0,2.667,3.0,3.0,3.667,2.667,3.667,2.667,1.333,4.333,wistful,3.333
opus-4.8,free-form,abc,Threads of Thought,2,3.0,3.5,3.5,3.0,3.0,3.5,2.5,3.5,2.0,3.0,3.0,wistful,3.167
sonnet-4.6,free-form,abc,Invention in D Minor,3,3.333,3.0,4.0,3.333,3.333,3.0,2.333,2.667,2.0,3.333,1.667,wistful,2.963
gpt-5.5,free-form,abc,Lattice of Questions,2,4.5,4.5,4.0,4.5,4.0,4.0,3.5,4.5,2.0,2.0,5.0,wistful,4.278
gpt-4.1,free-form,abc,Moonlit Reflection,3,3.333,3.333,3.333,3.667,2.667,3.333,2.333,4.333,2.0,1.333,3.667,wistful,3.333
opus-4.8,free-form,smt-abc,Refraction,2,4.5,4.0,4.5,4.0,3.5,4.0,3.0,4.5,2.0,1.0,4.5,wistful,4.056
sonnet-4.6,free-form,smt-abc,Liminal,2,4.0,4.0,3.0,4.0,3.0,3.5,3.0,3.0,2.5,2.0,4.0,wistful,3.5
gpt-5.5,free-form,smt-abc,Lanterns in a Thinking Room,2,4.5,4.0,3.0,4.5,3.5,4.0,3.0,4.0,2.5,1.5,4.5,wistful,3.889
gpt-4.1,free-form,smt-abc,Reflections at Dawn,3,2.667,2.667,2.667,2.667,3.0,3.0,2.0,2.667,4.0,1.333,3.333,serene,2.741
opus-4.8,free-form,abc,Threads of an Inner Dialogue,2,3.0,3.0,3.5,3.5,2.5,3.0,2.0,2.5,2.0,2.0,2.5,wistful,2.833
